STATIONS_ID,date_start,date_end,height,geo_lat,geo_lon,name,kl,more_precip,soil_temperature,solar,water_equiv,weather_phenomena,pressure,air_temperature
13715,20081211,20200816,604,48.1003,9.8058,Biberach,False,True,False,False,True,False,,
13716,20081031,20200816,818,47.8190,8.5774,Blumberg-Randen,False,True,False,False,True,False,,
13717,20071101,20200816,505,50.2833,6.9877,Mannebach/Eifel,False,True,False,False,False,False,,
13774,20081125,20200816,328,50.8138,12.2985,Crimmitschau-Mannichswalde,False,True,False,False,True,False,,
13776,20080301,20110104,85,52.1789,9.9524,Hildesheim-Drispenstedt,True,True,True,False,False,False,,
13777,20090105,20200816,110,52.2467,10.9592,Helmstedt-Emmerstedt,True,True,True,False,True,True,,
13778,20080320,20200816,225,49.2525,7.3400,Zweibrücken,False,True,False,False,False,False,,
13779,20080320,20200816,220,50.2696,7.8199,Singhofen,False,True,False,False,False,False,,
13780,20080320,20200816,310,49.5419,7.7179,Schallodenbach,False,True,False,False,False,False,,
13781,20080101,20200816,530,50.2370,6.6609,Gerolstein,False,True,False,False,False,False,,
13782,20071201,20200816,102,51.4612,11.6661,Seegebiet,False,True,False,False,False,False,,
13786,20140127,20200816,436,48.5505,11.1210,Pöttmes-Schnellmannskreuth,False,True,False,False,True,False,,
13900,19950101,20190311,145,50.2688,9.3580,"Soden,Bad-Salmünster",True,False,False,False,False,False,,
13901,19790201,20200816,41,51.7343,7.1998,Haltern,True,False,False,False,False,False,,
13903,20080928,20090831,15,54.0167,8.3167,Bake,True,False,False,False,False,False,,
13904,20080928,20081230,3,55.0000,6.3333,Nordseeboje,True,False,False,False,False,False,,
13905,20080501,20200801,160,49.9999,8.7796,Dietzenbach,False,True,False,False,False,False,,
13912,20080825,20200816,85,50.3158,7.7785,Nassau,False,True,False,False,False,False,,
13918,20080623,20200816,160,50.6181,7.4780,Peterslahr,False,True,False,False,False,False,,
13919,20080701,20080930,17,51.8433,6.4110,Isselburg-Anholt,False,True,False,False,False,False,,
13925,20080701,20180930,313,49.7633,7.7378,Odernheim-Heddarterhof,False,True,False,False,False,False,,
13926,19690101,20190801,63,53.3326,12.7200,Rechlin/Müritz,False,True,False,False,False,False,,
13932,19870521,20200816,388,48.3617,13.1938,Rotthalmünster,True,False,False,False,False,False,,
13933,20080901,20200816,347,49.3653,9.4481,Schöntal-Weigental,False,True,False,False,False,False,,
13952,20090201,20200816,278,51.4089,8.0094,Arnsberg-Müschede,True,False,False,False,False,False,,
13965,20081201,20200816,619,48.2639,8.8134,Balingen-Bronnhaupten,True,True,False,False,False,False,,
13967,20081001,20200816,166,50.6181,7.4780,Peterslahr,False,True,False,False,False,False,,
13968,20091001,20200816,420,50.2370,6.6611,Gerolstein/Kyll,False,True,False,False,False,False,,
13969,20081001,20141031,462,48.6234,8.7409,"Wildberg,",False,True,False,False,False,False,,
13990,19310101,19591231,446,47.8560,12.1388,Rosenheim,False,True,False,False,False,False,,
14001,20090501,20100630,11,53.4121,9.0825,Gnarrenburg-Oberklenkendorf,False,True,False,False,False,False,,
14003,19741001,19800930,728,47.8619,10.6144,Kaufbeuren,True,False,False,False,False,False,,
14006,20161001,20200813,145,49.3683,8.1854,Mußbach,False,True,False,False,False,False,,
14007,20160107,20200816,153,49.9595,8.2360,Mainz,False,True,False,False,False,False,,
14008,20160108,20200816,245,49.8228,8.1044,Rommersheim,False,True,False,False,False,False,,
14009,20161211,20200816,110,49.4010,8.3478,Schifferstadt,False,True,False,False,False,False,,
14010,20160501,20200816,274,50.5582,7.0318,Esch,False,True,False,False,False,False,,
14011,20160501,20200816,319,50.4528,7.6528,Grenzau,False,True,False,False,False,False,,
14013,20160107,20200816,128,49.8464,8.3460,Oppenheim,False,True,False,False,False,False,,
14014,20160401,20200816,224,49.7271,8.1168,Kettenheim,False,True,False,False,False,False,,
14015,20161001,20200816,388,50.1587,7.4972,Gondershausen,False,True,False,False,False,False,,
14016,20161201,20200816,98,49.5871,8.3414,Kleinniedesheim,False,True,False,False,False,False,,
14017,20161211,20200816,144,49.1581,8.2536,Herxheimweyher,False,True,False,False,False,False,,
14018,20160701,20200816,180,49.5189,8.1847,Dackenheim,False,True,False,False,False,False,,
14019,20161211,20200816,129,49.2449,8.2912,Lustadt,False,True,False,False,False,False,,
14020,20160501,20200816,195,50.2558,7.3535,"Münstermaifeld,",False,True,False,False,False,False,,
14021,20161211,20200816,209,49.8270,8.3320,Dienheim,False,True,False,False,False,False,,
14022,20160701,20200815,461,49.6353,7.2105,Dienstweiler,False,True,False,False,False,False,,
14023,20161201,20200816,476,50.1419,6.3126,Strickscheid,False,True,False,False,False,False,,
