STATIONS_ID,date_start,date_end,height,geo_lat,geo_lon,name,air_temperature,cloud_type,cloudiness,dew_point,precipitation,pressure,soil_temperature,solar,sun,visibility,wind,wind_synop
00644,20050101,20191213,150,51.7049,9.1738,Brakel,False,True,False,False,True,False,False,False,False,False,False,False
00649,19911101,19941001,31,52.4333,12.4500,Brandenburg-Briest,False,True,True,True,False,True,False,False,False,True,False,True
00650,19560101,19770531,35,52.4136,12.5503,Brandenburg-Görden,False,False,False,False,False,False,True,False,False,False,False,False
00652,19510101,19910630,384,49.5353,10.7706,Hagenbüchach,False,False,False,False,False,False,False,False,True,False,False,False
00653,20050501,20191213,483,47.7241,12.1092,Brannenburg-Degerndorf,False,True,False,False,True,False,False,False,False,False,False,False
00656,19950901,20191213,607,51.7234,10.6021,Braunlage,True,True,True,True,True,True,True,True,True,True,True,True
00657,19510101,19840331,625,51.6634,10.6690,Braunlage-Hohegeiß,False,False,False,False,False,False,False,False,True,False,False,False
00662,19971022,20191213,81,52.2915,10.4464,Braunschweig,True,True,True,True,True,True,True,True,True,True,True,True
00674,19610101,20010731,194,48.0222,7.5845,Breisach,False,False,False,False,False,False,False,False,True,False,False,False
00675,19800701,19880229,218,48.0333,7.6000,Breisach-Eckartsberg,False,False,False,False,False,False,False,False,False,False,True,False
00677,20030702,20191213,610,48.1266,10.3649,Breitenbrunn-Fürbuch,False,True,False,False,False,False,False,False,False,False,False,True
00684,20050621,20191213,1001,47.9385,8.0761,Breitnau,False,True,False,False,True,False,False,False,False,False,False,False
00685,20020101,20061102,585,49.9017,9.4281,Breitsol,True,True,True,True,True,True,True,False,False,True,False,True
00691,20090101,20191213,4,53.0450,8.7979,Bremen,True,True,True,True,True,True,True,True,True,True,True,True
00701,19980610,20191213,7,53.5332,8.5761,Bremerhaven,True,True,True,True,True,True,True,False,True,True,True,True
00703,19810101,19850531,5,53.4779,9.1553,Bremervörde,False,False,False,False,False,False,True,False,False,False,False,False
00704,20020801,20191213,11,53.4451,9.1390,Bremervörde,True,True,True,True,True,True,True,False,True,True,True,True
00705,19850601,20061231,5,53.5312,9.1664,Bremervörde-Niederochtenhausen,False,False,False,False,False,False,True,False,False,False,False,False
00706,19790101,19950228,234,47.8858,7.6611,Eschbach,False,True,True,True,False,True,False,False,True,True,True,True
00710,19900518,20031231,181,49.0250,8.6991,Bretten,False,False,False,False,False,False,False,False,True,False,False,False
00714,20050601,20191213,46,52.3653,14.2474,Neu,False,True,False,False,True,False,False,False,False,False,False,False
00721,20040601,20191213,101,51.5168,12.4356,Schönwölkau-Brinnis,False,True,False,False,True,False,False,False,False,False,False,False
00722,19750701,20191213,1134,51.7986,10.6183,Brocken,True,True,True,True,False,True,False,False,True,True,True,True
00723,20041201,20191213,290,50.1841,7.2400,Kail,False,True,False,False,True,False,False,False,False,False,False,False
00728,19810201,19861231,1016,48.8171,13.2176,Brotjacklriegel,False,False,False,False,False,False,False,False,False,False,True,False
00730,20040911,20110120,238,49.3864,7.4567,Bruchmühlbach-Miesau,False,True,False,False,False,False,False,False,False,False,False,False
00731,20071201,20191213,130,49.1127,8.6372,Bruchsal-Heidelsheim,False,True,False,False,True,False,False,False,False,False,False,False
00732,20040919,20191213,545,49.7985,7.2278,"Bruchweiler,",False,True,False,False,False,False,False,False,False,False,False,False
00735,20050501,20191213,52,52.1692,12.7334,Brück-Gömnigk,False,True,False,False,True,False,False,False,False,False,False,False
00739,19690301,20040331,288,50.3041,9.7499,"Brückenau,",False,False,False,False,False,False,False,False,True,False,False,False
00743,19790102,20010929,73,51.2000,6.1333,Brüggen,False,True,True,True,False,True,False,False,False,True,True,True
00748,19660101,20080930,5,53.8887,9.1411,Brunsbüttel,False,False,False,False,False,False,False,False,False,False,True,False
00753,20040501,20191213,310,50.8700,11.5022,Bucha,False,True,False,False,True,False,False,False,False,False,False,False
00755,20040601,20191213,340,49.5182,9.3213,"Buchen,",True,True,True,True,True,False,True,False,True,True,False,True
00757,20040601,20191213,445,47.9625,7.9983,Buchenbach,True,True,True,True,True,False,False,False,True,True,False,True
00760,20171201,20191213,82,53.3629,9.9435,Rosengarten-Klecken,True,True,False,True,True,False,True,False,True,False,False,False
00766,20020101,20191212,477,50.1746,7.0595,Büchel,True,True,True,True,False,True,True,False,False,True,True,True
00769,20020101,20191212,68,52.2817,9.0889,Bückeburg,True,True,True,True,False,True,True,False,True,True,True,True
00774,20120214,20170130,384,49.0025,9.9155,Bühlerzell,False,True,False,False,False,False,False,False,False,False,False,False
00775,20041001,20191213,100,52.0000,10.6323,Osterwieck-Rimbeck,False,True,False,False,True,False,False,False,False,False,False,False
00781,19880101,19940331,221,51.6126,8.6190,Bühren-Ahden,False,False,False,False,False,False,False,False,False,False,True,False
00785,19820112,19861031,1,54.1333,8.8667,Büsum,False,True,True,True,False,True,False,False,False,True,False,True
00788,20071030,20191212,3,54.1193,8.8584,Büsum,False,True,False,False,False,False,False,False,False,False,True,True
00789,20040601,20191213,263,49.6064,9.8835,Bütthard,False,True,False,False,True,False,False,False,False,False,False,False
00791,20060101,20191213,8,54.6328,8.9370,Bordelum,False,True,False,False,True,False,False,False,False,False,False,False
00796,20041101,20191213,412,50.7556,8.1257,Burbach-Würgendorf,False,True,False,False,True,False,False,False,False,False,False,False
00797,20050801,20191213,39,52.3241,11.8339,Burg-Blumenthal,False,True,False,False,True,False,False,False,False,False,False,False
00801,20030710,20191213,331,49.4549,10.3240,Burgbernheim,False,True,False,False,True,False,False,False,False,False,False,True
00807,20070425,20191213,290,49.7450,10.6434,Schlüsselfeld,False,True,False,False,False,False,False,False,False,False,False,False
00808,20060301,20191213,413,48.1870,12.8098,"Mehring,",False,True,False,False,True,False,False,False,False,False,False,False
00812,20041201,20191213,276,50.1427,11.2322,Burgkunstadt,False,True,False,False,True,False,False,False,False,False,False,False
00814,20060108,20191213,270,50.1451,10.7066,Pfarrweisach-Lohr,False,True,False,False,False,False,False,False,False,False,False,False
00815,20061101,20191213,154,51.5427,11.6948,Seegebiet,False,True,False,False,True,False,False,False,False,False,False,False
00817,20050201,20191213,293,51.0306,8.8146,Burgwald-Bottendorf,True,True,True,True,True,False,False,False,False,True,False,True
00829,19830502,19970831,479,50.3960,8.5465,Butzbach-Bodenrod,False,False,False,False,False,False,False,False,False,False,True,False
00832,19790102,19950810,48,50.9833,6.9000,Butzweilerhof,False,True,True,True,False,True,False,False,False,True,False,True
00836,20141230,20170116,62,52.3923,11.2920,Calvörde,False,True,False,False,False,False,False,False,False,False,False,False
00837,20040701,20191213,244,50.2863,8.2949,"Camberg,",False,True,False,False,True,False,False,False,False,False,False,False
00839,20110105,20191213,27,53.7575,10.9288,Carlow,False,True,False,False,True,False,False,False,False,False,False,False
00840,19950901,20191213,897,50.4313,12.6114,Carlsfeld,True,True,True,True,True,True,True,False,True,True,True,True
00848,20080801,20191213,38,52.6146,10.0726,Celle,False,True,False,False,True,False,False,False,True,False,False,False
00850,20020101,20191212,39,52.5959,10.0296,Celle,True,True,True,True,False,True,True,False,True,True,True,True
